iter	Passed	Remaining
0	169	169332
1	171	85552
2	173	57602
3	175	43680
4	177	35242
5	178	29632
6	180	25626
7	182	22651
8	184	20365
9	187	18551
10	190	17090
11	191	15779
12	193	14681
13	194	13731
14	196	12921
15	197	12166
16	199	11517
17	201	10979
18	202	10467
19	204	10030
20	206	9629
21	208	9253
22	210	8925
23	211	8618
24	213	8311
25	214	8025
26	215	7760
27	216	7512
28	217	7285
29	218	7074
30	219	6876
31	221	6696
32	222	6533
33	224	6387
34	226	6236
35	227	6094
36	228	5950
37	229	5818
38	231	5700
39	232	5584
40	233	5470
41	234	5359
42	236	5252
43	237	5151
44	238	5061
45	239	4973
46	241	4890
47	242	4805
48	243	4727
49	244	4648
50	246	4583
51	247	4515
52	249	4449
53	250	4386
54	251	4326
55	253	4270
56	254	4208
57	255	4151
58	256	4093
59	257	4036
60	258	3983
61	259	3931
62	261	3883
63	262	3833
64	263	3785
65	264	3740
66	265	3702
67	266	3651
68	267	3612
69	268	3572
70	269	3532
71	271	3494
72	272	3457
73	273	3419
74	274	3384
75	275	3349
76	276	3317
77	277	3283
78	278	3251
79	280	3223
80	281	3197
81	283	3172
82	284	3145
83	285	3118
84	286	3085
85	288	3062
86	288	3031
87	290	3005
88	291	2981
89	292	2956
90	294	2936
91	295	2912
92	296	2889
93	297	2865
94	298	2844
95	299	2823
96	301	2802
97	302	2781
98	303	2759
99	304	2739
100	305	2719
101	306	2694
102	307	2674
103	308	2656
104	309	2638
105	310	2621
106	311	2601
107	312	2582
108	313	2564
109	314	2546
110	315	2528
111	316	2510
112	317	2494
113	318	2477
114	319	2461
115	320	2443
116	321	2428
117	322	2412
118	323	2397
119	324	2382
120	325	2368
121	326	2352
122	327	2334
123	328	2319
124	329	2305
125	330	2291
126	331	2278
127	332	2262
128	333	2248
129	334	2235
130	335	2222
131	336	2210
132	337	2197
133	338	2185
134	339	2173
135	340	2161
136	341	2150
137	342	2137
138	343	2126
139	344	2114
140	345	2104
141	346	2093
142	347	2082
143	348	2071
144	349	2060
145	350	2051
146	351	2040
147	352	2030
148	354	2023
149	355	2013
150	356	2004
151	357	1996
152	358	1986
153	360	1977
154	361	1968
155	361	1958
156	363	1949
157	364	1939
158	365	1931
159	366	1921
160	367	1913
161	368	1906
162	369	1897
163	370	1888
164	371	1879
165	372	1871
166	373	1863
167	374	1855
168	375	1847
169	376	1839
170	377	1831
171	378	1823
172	379	1815
173	380	1807
174	382	1801
175	383	1796
176	385	1793
177	387	1790
178	389	1785
179	391	1781
180	391	1772
181	393	1768
182	394	1762
183	396	1756
184	397	1750
185	399	1746
186	400	1742
187	402	1736
188	403	1732
189	405	1728
190	407	1724
191	408	1718
192	410	1715
193	411	1710
194	413	1705
195	414	1701
196	416	1697
197	417	1692
198	419	1686
199	420	1681
200	421	1676
201	423	1671
202	424	1668
203	426	1665
204	428	1660
205	430	1657
